InvoiceDate,Make,CountryName,SalePrice,CostPrice,TotalDiscount,DeliveryCharge,SpareParts,LaborCost,Model,Color,ReportingYear,ReportingMonth,Registration_Date,VehicleType
2013-12-02,Aston Martin,United Kingdom,110000,125000,0,1750,1950,752,Vanquish,Red,2013,12,2001-09-01,Coupe
2012-01-01,Jaguar,USA,44000,25000,500,450,1950,486,XK,Dark Purple,2012,1,2000-09-01,Coupe
2012-02-01,Jaguar,USA,45000,37500,500,450,1950,486,XJ6,British Racing Green,2012,2,2000-09-01,Saloon
2012-03-01,Jaguar,Switzerland,39500,25000,500,0,1950,486,XJ12,Black,2012,3,2000-09-01,Saloon
2012-04-01,Jaguar,France,44000,37500,500,500,1950,486,XK,Canary Yellow,2012,4,2000-09-01,Coupe
2012-05-01,Jaguar,United Kingdom,44000,25000,500,500,1950,486,XJ12,Canary Yellow,2012,5,2000-09-01,Saloon
2012-06-01,Jaguar,United Kingdom,39500,37500,500,500,1950,486,XK,Night Blue,2012,6,2000-09-01,Coupe
2012-07-01,Jaguar,United Kingdom,44000,25000,500,1750,1950,486,XK,Green,2012,7,2000-09-01,Coupe
2013-01-02,Jaguar,United Kingdom,44000,25000,0,1750,1950,987,XK,British Racing Green,2013,1,1997-06-01,Coupe
2013-02-02,Jaguar,United Kingdom,44000,37500,0,500,1950,987,XK,Dark Purple,2013,2,1997-06-01,Coupe
2013-03-02,Jaguar,United Kingdom,39500,25000,750,500,1950,987,XJ6,Red,2013,3,2006-09-20,Saloon
2013-04-02,Jaguar,United Kingdom,110000,37500,750,500,1950,987,XJ6,Red,2013,4,2006-09-20,Saloon
2013-05-02,Jaguar,United Kingdom,44000,25000,750,500,1950,987,XJ6,Red,2013,5,2006-09-20,Saloon
2013-06-02,Jaguar,Switzerland,39500,37500,500,450,1950,987,XK,Dark Purple,2013,6,2006-09-20,Coupe
2013-07-02,Jaguar,USA,39500,25000,500,450,1950,750,XK,British Racing Green,2013,7,2006-09-20,Coupe
2013-08-02,Jaguar,United Kingdom,39500,12500,500,450,1950,750,XK,Black,2013,8,2006-09-20,Coupe
2013-09-02,Jaguar,France,39500,25000,500,500,1950,750,XK,Night Blue,2013,9,2006-09-20,Saloon
2013-10-02,Jaguar,United Kingdom,39500,37500,750,500,1950,750,XK,Canary Yellow,2013,10,2006-09-20,Coupe
2013-11-02,Jaguar,United Kingdom,39500,25000,750,500,1950,1250,XK,Silver,2013,11,2006-09-20,Saloon
2012-08-01,Bentley,Switzerland,110000,25700,500,775,1950,1250,Azure,Black,2012,8,2007-05-09,Saloon
2012-09-01,Bentley,USA,44000,25700,500,775,1950,987,Turbo R,Silver,2012,9,2007-05-09,Saloon
2012-10-01,Bentley,France,110000,62000,500,500,1950,1250,Continental,Canary Yellow,2012,10,2007-05-09,Saloon
2012-11-01,Bentley,United Kingdom,44000,62000,500,450,1950,987,Continental,Canary Yellow,2012,11,2007-05-09,Coupe
2012-12-01,Bentley,United Kingdom,44000,62000,500,450,1950,987,Continental,Night Blue,2012,12,2007-05-09,Saloon
2013-01-02,Bentley,United Kingdom,110000,25700,500,450,1950,1250,Continental,Night Blue,2013,1,2007-05-09,Saloon
2013-02-02,Bentley,United Kingdom,110000,25700,500,500,1950,750,Continental,Green,2013,2,2007-05-09,Coupe
2013-03-02,Bentley,United Kingdom,41250,25700,500,775,1950,750,Azure,Blue,2013,3,2007-05-09,Saloon
2013-04-02,Bentley,France,110000,25700,500,775,1950,750,Turbo R,Red,2013,4,2007-05-09,Saloon
2013-05-02,Bentley,United Kingdom,39500,62000,500,775,1950,750,Turbo R,Red,2013,5,2007-05-09,Saloon
2013-06-02,Bentley,USA,39500,62000,500,500,1950,486,Continental,Red,2013,6,2007-05-09,Convertible
2013-07-02,Bentley,United Kingdom,39500,25700,500,500,1950,486,Continental,Dark Purple,2013,7,2006-09-20,Convertible
2014-01-01,Aston Martin,USA,112750,130000,550,425,1950,752,Vanquish,Red,2014,1,2001-09-01,Coupe
2014-02-01,Jaguar,USA,46750,30000,550,425,1950,486,XK,Dark Purple,2014,2,2000-09-01,Coupe
2014-03-01,Jaguar,Switzerland,47750,42500,550,75,1950,486,XJ6,British Racing Green,2014,3,2000-09-01,Saloon
2014-04-01,Jaguar,France,42250,30000,550,475,1950,486,XJ12,Black,2014,4,2000-09-01,Saloon
2014-05-01,Jaguar,United Kingdom,46750,42500,550,475,1950,486,XK,Canary Yellow,2014,5,2000-09-01,Coupe
2014-06-01,Jaguar,United Kingdom,46750,30000,550,475,1950,486,XJ12,Canary Yellow,2014,6,2000-09-01,Saloon
2014-07-01,Jaguar,United Kingdom,42250,42500,550,1725,1950,486,XK,Canary Yellow,2014,7,2000-09-01,Coupe
2014-08-01,Jaguar,United Kingdom,46750,30000,800,475,1950,486,XK,Green,2014,8,2000-09-01,Coupe
2015-02-02,Jaguar,United Kingdom,46750,30000,50,475,1950,987,XK,British Racing Green,2015,2,1997-06-01,Coupe
2015-03-02,Jaguar,United Kingdom,46750,42500,800,475,1950,987,XK,Dark Purple,2015,3,1997-06-01,Coupe
2015-04-02,Jaguar,United Kingdom,42250,30000,800,475,1950,987,XJ6,Red,2015,4,2006-09-20,Saloon
2015-05-02,Jaguar,United Kingdom,112750,42500,800,475,1950,987,XJ6,Red,2015,5,2006-09-20,Saloon
2015-06-02,Jaguar,Switzerland,46750,30000,550,425,1950,987,XJ6,Red,2015,6,2006-09-20,Saloon
2015-07-02,Jaguar,USA,42250,42500,550,425,1950,987,XK,Dark Purple,2015,7,2006-09-20,Coupe
2015-08-02,Jaguar,United Kingdom,42250,30000,550,425,1950,750,XK,British Racing Green,2015,8,2006-09-20,Coupe
2015-09-02,Jaguar,France,42250,17500,550,475,1950,750,XK,Black,2015,9,2006-09-20,Coupe
2015-10-02,Jaguar,United Kingdom,42250,30000,800,475,1950,750,XK,Canary Yellow,2015,10,2006-09-20,Saloon
2015-11-02,Jaguar,United Kingdom,42250,42500,800,475,1950,750,XK,Canary Yellow,2015,11,2006-09-20,Coupe
2015-12-02,Jaguar,United Kingdom,42250,30000,800,475,1950,1250,XK,Silver,2015,12,2006-09-20,Saloon
2014-09-01,Bentley,USA,112750,30700,550,750,1950,1250,Azure,Black,2014,9,2007-05-09,Saloon
2014-10-01,Bentley,France,46750,30700,550,475,1950,987,Turbo R,Silver,2014,10,2007-05-09,Saloon
2014-11-01,Bentley,United Kingdom,112750,67000,550,425,1950,1250,Continental,Canary Yellow,2014,11,2007-05-09,Saloon
2014-12-01,Bentley,United Kingdom,46750,67000,550,425,1950,987,Continental,Canary Yellow,2014,12,2007-05-09,Coupe
2015-01-02,Bentley,United Kingdom,46750,67000,550,425,1950,987,Continental,Night Blue,2015,1,2007-05-09,Saloon
2015-02-02,Bentley,United Kingdom,112750,30700,550,475,1950,1250,Continental,Night Blue,2015,2,2007-05-09,Saloon
2015-03-02,Bentley,United Kingdom,112750,30700,550,750,1950,750,Continental,Green,2015,3,2007-05-09,Coupe
2015-04-02,Bentley,France,44000,30700,550,750,1950,750,Azure,Blue,2015,4,2007-05-09,Saloon
2015-05-02,Bentley,United Kingdom,112750,30700,550,750,1950,750,Turbo R,Red,2015,5,2007-05-09,Saloon
2015-06-02,Bentley,USA,42250,67000,550,475,1950,750,Turbo R,Red,2015,6,2007-05-09,Saloon
2015-07-02,Bentley,United Kingdom,42250,67000,550,475,1950,486,Continental,Red,2015,7,2007-05-09,Convertible
2015-08-02,Bentley,United Kingdom,42250,30700,550,750,1950,486,Continental,Dark Purple,2015,8,2006-09-20,Convertible
2014-01-01,Aston Martin,USA,112750,130000,550,350,1950,752,DB9,Red,2014,1,2001-09-01,Coupe
2014-02-01,Jaguar,USA,46750,30000,550,350,1950,486,XK,Dark Purple,2014,2,2000-09-01,Coupe
2014-03-01,Jaguar,USA,47750,42500,50,0,1950,486,XK,British Racing Green,2014,3,2000-09-01,Saloon
2014-04-01,Jaguar,USA,42250,30000,50,400,1950,486,XK,Black,2014,4,2000-09-01,Saloon
2014-05-01,Jaguar,USA,46750,42500,50,400,1950,486,XK,Canary Yellow,2014,5,2000-09-01,Coupe
2014-06-01,Jaguar,USA,46750,30000,550,400,1950,486,XK,Canary Yellow,2014,6,2000-09-01,Saloon
2014-07-01,Jaguar,USA,42250,42500,550,1650,1950,486,XK,Canary Yellow,2014,7,2000-09-01,Coupe
2014-08-01,Jaguar,USA,46750,30000,800,400,1950,486,XK,Green,2014,8,2000-09-01,Coupe
2015-02-02,Jaguar,USA,46750,30000,50,400,1950,987,XK,British Racing Green,2015,2,1997-06-01,Coupe
2015-03-02,Jaguar,USA,46750,42500,800,400,1950,987,XK,Dark Purple,2015,3,1997-06-01,Coupe
2015-04-02,Jaguar,USA,42250,30000,650,400,1950,987,XK,Red,2015,4,2006-09-20,Saloon
2015-05-02,Jaguar,USA,112750,42500,650,400,1950,987,XK,Red,2015,5,2006-09-20,Saloon
2015-06-02,Jaguar,USA,46750,30000,550,350,1950,987,XK,Red,2015,6,2006-09-20,Saloon
2015-07-02,Jaguar,USA,42250,42500,550,350,1950,987,XK,Dark Purple,2015,7,2006-09-20,Coupe
2015-08-02,Jaguar,USA,42250,30000,550,350,1950,750,XK,British Racing Green,2015,8,2006-09-20,Coupe
2015-09-02,Jaguar,USA,42250,17500,550,400,1950,750,XK,Black,2015,9,2006-09-20,Coupe
2015-10-02,Jaguar,USA,42250,30000,650,400,1950,750,XK,Canary Yellow,2015,10,2006-09-20,Saloon
2015-11-02,Jaguar,USA,42250,42500,800,400,1950,750,XK,Canary Yellow,2015,11,2006-09-20,Coupe
2015-12-02,Jaguar,USA,42250,30000,800,400,1950,1250,XK,Silver,2015,12,2006-09-20,Saloon
2014-09-01,Bentley,USA,112750,30700,550,675,1950,1250,Continental,Black,2014,9,2007-05-09,Saloon
2014-10-01,Bentley,USA,46750,30700,550,400,1950,987,Continental,Silver,2014,10,2007-05-09,Saloon
2014-11-01,Bentley,USA,112750,67000,550,350,1950,1250,Continental,Canary Yellow,2014,11,2007-05-09,Saloon
2014-12-01,Bentley,USA,46750,67000,550,350,1950,987,Continental,Canary Yellow,2014,12,2007-05-09,Coupe
2015-01-02,Bentley,USA,46750,67000,400,350,1950,987,Continental,Night Blue,2015,1,2007-05-09,Saloon
2015-02-02,Bentley,USA,112750,30700,550,400,1950,1250,Continental,Night Blue,2015,2,2007-05-09,Saloon
2015-03-02,Bentley,USA,112750,30700,400,675,1950,750,Continental,Green,2015,3,2007-05-09,Coupe
2015-04-02,Bentley,USA,44000,30700,550,675,1950,750,Continental,Blue,2015,4,2007-05-09,Saloon
2015-05-02,Bentley,USA,112750,30700,550,675,1950,750,Continental,Red,2015,5,2007-05-09,Saloon
2015-06-02,Bentley,USA,42250,67000,400,400,1950,750,Continental,Red,2015,6,2007-05-09,Saloon
2015-07-02,Bentley,USA,42250,67000,550,400,1950,486,Continental,Red,2015,7,2007-05-09,Convertible
2015-08-02,Bentley,USA,42250,30700,550,675,1950,486,Continental,Dark Purple,2015,8,2006-09-20,Convertible
2013-06-02,Rolls Royce,United Kingdom,110000,62000,0,1750,400,951,Silver Seraph,Red,2013,6,1999-01-01,Saloon
2013-07-02,Rolls Royce,United Kingdom,102500,62000,1750,500,400,987,Silver Ghost,Black,2013,7,2001-05-05,Saloon
2013-08-02,Rolls Royce,United Kingdom,130000,62000,0,1000,400,750,Silver Shadow,British Racing Green,2013,8,1985-01-08,Saloon
2013-04-02,Aston Martin,United Kingdom,110000,75890,0,0,400,147,DB4,Night Blue,2013,4,2006-09-08,Coupe
2013-01-02,Jaguar,Spain,29750,37500,150,50,400,486,XK,Red,2013,1,2007-05-09,Coupe
2013-02-02,TVR,Germany,41250,37500,150,50,400,325,Tuscan,Blue,2013,2,2006-09-20,Coupe
2013-03-02,Jaguar,Spain,39500,37500,150,50,400,325,XK,Green,2013,3,2007-05-09,Saloon
2013-04-02,TVR,Germany,29750,37500,150,50,400,325,Cerbera,Silver,2013,4,2006-09-20,Coupe
2013-05-02,Jaguar,Switzerland,120000,37500,150,50,400,325,XK,Canary Yellow,2013,5,2007-05-09,Convertible
2013-06-02,TVR,USA,29750,37500,150,50,400,325,Tuscan,Night Blue,2013,6,2006-09-20,Coupe
2013-07-02,Jaguar,United Kingdom,41250,37500,150,50,400,325,XK,Canary Yellow,2013,7,2006-09-20,Saloon
2013-08-02,TVR,France,29750,37500,150,50,400,325,Cerbera,Silver,2013,8,2006-09-20,Coupe
